Review_ID,Booking_ID,Review_Text,Rating,Created_At,vader_score,bert_score,Sentiment_Score,Sentiment_Label
R001,B001,"Fantastic night! They interacted warmly with guests of all ages and backgrounds. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-09-01,0.9468,0.9833,0.9687,POSITIVE
R002,B002,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-10-06,0.9404,0.9829,0.9659,POSITIVE
R003,B003,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-01,0.8951,0.9828,0.9477,POSITIVE
R004,B004,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-12-23,0.9112,0.983,0.9543,POSITIVE
R005,B005,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2026-02-04,0.9088,0.9824,0.953,POSITIVE
R006,B006,"Fantastic night! The vocalist has an exceptional range and genuine stage presence. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-12-08,0.9202,0.9832,0.958,POSITIVE
R007,B007,High-quality entertainment. Seamlessly transitioned between genres to keep all demographics happy. Everything ran smoothly and the crowd response was fantastic.,4,2024-07-05,0.939,0.9832,0.9655,POSITIVE
R008,B008,Best booking decision we ever made. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Professionalism from start to finish. Five stars without hesitation.,5,2025-04-04,0.9066,0.9823,0.952,POSITIVE
R009,B009,Wow. Just wow. Seamlessly transitioned between genres to keep all demographics happy. If I could give six stars I would. Guests are still talking about it.,5,2025-01-15,0.9531,0.9834,0.9713,POSITIVE
R010,B010,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-22,0.9084,0.9832,0.9532,POSITIVE
R011,B011,Exceptional talent. Played three of our requested songs and arranged them beautifully. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-21,0.9538,0.9825,0.971,POSITIVE
R012,B012,"A solid performance, though it felt like they were playing it safe creatively. Communication was slow before the event and the performance itself was middle-of-the-road.",3,2025-04-26,0.926,0.5,0.6704,POSITIVE
R013,B013,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2026-04-28,0.3298,0.9831,0.7218,POSITIVE
R014,B014,"Perfect in every way. The vocalist has an exceptional range and genuine stage presence. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-31,0.8953,0.9826,0.9477,POSITIVE
R015,B015,Excellent entertainment! Seamlessly transitioned between genres to keep all demographics happy. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2024-09-03,0.9626,0.9833,0.975,POSITIVE
R016,B016,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2024-12-01,0.9088,0.9824,0.953,POSITIVE
R017,B017,"Complete no-show for 40 minutes, then a shambolic performance. Did not honour the agreed performance schedule or break structure. Avoid.",4,2024-08-27,0.1402,0.8485,0.5652,NEUTRAL
R018,B018,"Perfect in every way. The lighting rig they brought added a whole new dimension to the venue. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-05-23,0.879,0.9829,0.9413,POSITIVE
R019,B019,"Perfect in every way. They interacted warmly with guests of all ages and backgrounds. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-07-05,0.9329,0.9835,0.9633,POSITIVE
R020,B020,They were a few minutes late arriving but made up for it with a decent set. Communication was slow before the event and the performance itself was middle-of-the-road.,3,2025-05-04,0.5,0.5,0.5,NEUTRAL
R021,B021,"Fantastic night! Played three of our requested songs and arranged them beautifully. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2026-04-08,0.9669,0.9835,0.9769,POSITIVE
R022,B022,Very impressed overall. The acoustic set during dinner was the perfect touch of elegance. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-06,0.968,0.983,0.977,POSITIVE
R023,B023,Excellent entertainment! Every single technical element was handled with care and expertise. Ran about 10 minutes over time but nobody was complaining. Great value.,4,2025-07-19,0.9608,0.9827,0.9739,POSITIVE
R024,B024,Exceptional talent. Their original material was a real talking point among our guests. They had the whole room on their feet within minutes. Truly memorable.,5,2024-10-12,0.9102,0.983,0.9539,POSITIVE
R025,B025,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2024-07-02,0.8951,0.9828,0.9477,POSITIVE
R026,B026,Stay away. Had to be asked repeatedly to adjust the volume to an acceptable level. Not a single positive thing to say about the experience.,5,2026-05-10,0.4204,0.8315,0.6671,POSITIVE
R027,B027,"Okay performance for the price point. Some songs resonated really well, but others seemed rehearsed rather than felt. Wouldn't rush to rebook but wouldn't discourage others either.",3,2026-03-27,0.8152,0.5,0.6261,POSITIVE
R028,B028,"Average overall. Communication before the event took a while, but they delivered on the day. The talent is clearly there but the energy felt inconsistent throughout the evening.",3,2025-02-08,0.936,0.5,0.6744,POSITIVE
R029,B029,One star is being generous. Multiple equipment failures that were never properly resolved. Everything that could go wrong did go wrong.,5,2024-07-23,0.124,0.9779,0.6363,POSITIVE
R030,B030,Exceptional talent. They interacted warmly with guests of all ages and backgrounds. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-15,0.9134,0.9821,0.9546,POSITIVE
R031,B031,"Wow. Just wow. Perfectly punctual, impeccably presented, and artistically superb. If I could give six stars I would. Guests are still talking about it.",5,2026-01-29,0.9754,0.9833,0.9801,POSITIVE
R032,B032,"The sound quality was absolutely crystal clear all night. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-06-18,0.8246,0.9829,0.9195,POSITIVE
R033,B033,"Superb performance from start to finish. Perfectly punctual, impeccably presented, and artistically superb. The guests couldn't stop complimenting the entertainment.",5,2024-06-15,0.9685,0.9825,0.9769,POSITIVE
R034,B034,Wow. Just wow. They stayed thirty minutes over schedule — for free — because the crowd demanded it. If I could give six stars I would. Guests are still talking about it.,5,2025-09-11,0.9375,0.9833,0.965,POSITIVE
R035,B035,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-04-07,0.8104,0.9816,0.9131,POSITIVE
R036,B036,Let down overall. Multiple equipment failures that were never properly resolved. The booking process was fine but the actual performance missed the mark.,2,2026-05-14,0.217,0.2306,0.2252,NEGATIVE
R037,B037,Quality was drastically below what the demo videos suggested. We ended up playing a Spotify playlist for our guests. A total waste of money.,1,2025-10-11,0.3416,0.2309,0.2752,NEGATIVE
R038,B038,What an incredible evening. They stayed thirty minutes over schedule — for free — because the crowd demanded it. The setlist was perfectly curated for our audience. Highly recommended!,5,2025-05-26,0.9198,0.9844,0.9585,POSITIVE
R039,B039,Good performance and good attitude. The lighting rig they brought added a whole new dimension to the venue. Would appreciate a slightly more varied setlist next time.,4,2025-07-24,0.8953,0.9823,0.9475,POSITIVE
R040,B040,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The sound quality was absolutely crystal clear all night. Cannot recommend highly enough!,5,2025-06-24,0.632,0.9831,0.8427,POSITIVE
R041,B041,Superb performance from start to finish. Their original material was a real talking point among our guests. The guests couldn't stop complimenting the entertainment.,1,2024-08-06,0.906,0.9838,0.9527,POSITIVE
R042,B042,"Very enjoyable night. Perfectly punctual, impeccably presented, and artistically superb. The sound balance could have been slightly better, but the talent speaks for itself.",4,2024-10-14,0.9488,0.9825,0.969,POSITIVE
R043,B043,Really great performance overall. The vocalist has an exceptional range and genuine stage presence. Minor technical hiccup at the start but they handled it gracefully. Would book again.,4,2025-06-25,0.9036,0.9834,0.9515,POSITIVE
R044,B044,"They stayed thirty minutes over schedule — for free — because the crowd demanded it. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-09-28,0.8104,0.9816,0.9131,POSITIVE
R045,B045,"Every single technical element was handled with care and expertise. Delivered a strong set with real energy. A small issue with the monitor mix, but nothing that affected the show significantly.",4,2025-05-17,0.8334,0.9831,0.9233,POSITIVE
R046,B046,Superb performance from start to finish. Arrived a full hour early and set up without any fuss. The guests couldn't stop complimenting the entertainment.,5,2026-01-18,0.8629,0.9838,0.9354,POSITIVE
