Review_ID,Booking_ID,Review_Text,Rating,Created_At
R001,B001,"Fantastic night! They interacted warmly with guests of all ages and backgrounds. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-09-01
R002,B002,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-10-06
R003,B003,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-01
R004,B004,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-12-23
R005,B005,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2026-02-04
R006,B006,"Fantastic night! The vocalist has an exceptional range and genuine stage presence. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-12-08
R007,B007,High-quality entertainment. Seamlessly transitioned between genres to keep all demographics happy. Everything ran smoothly and the crowd response was fantastic.,4,2024-07-05
R008,B008,Best booking decision we ever made. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Professionalism from start to finish. Five stars without hesitation.,5,2025-04-04
R009,B009,Wow. Just wow. Seamlessly transitioned between genres to keep all demographics happy. If I could give six stars I would. Guests are still talking about it.,5,2025-01-15
R010,B010,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-22
R011,B011,Exceptional talent. Played three of our requested songs and arranged them beautifully. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-21
R012,B012,"A solid performance, though it felt like they were playing it safe creatively. Communication was slow before the event and the performance itself was middle-of-the-road.",3,2025-04-26
R013,B013,Absolutely sensational performance — the crowd was completely blown away from the first song to the last. The vocalist has an exceptional range and genuine stage presence. Cannot recommend highly enough!,5,2026-04-28
R014,B014,"Perfect in every way. The vocalist has an exceptional range and genuine stage presence. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2026-03-31
