Booking_ID,Musician_ID,Client_ID,Event_ID,Date_Time,Duration,Price_Charged,Rating
B001,M385,C285,E493,2025-08-25 16:30,2,5380,5
B002,M150,C262,E230,2025-10-04 18:30,4,17320,5
B003,M449,C024,E623,2025-04-25 17:30,2,1360,4
B004,M243,C212,E336,2025-12-09 21:00,5,18600,5
B005,M183,C229,E196,2026-01-21 22:30,1,1040,4
B006,M379,C112,E104,2025-11-29 21:00,2,3160,5
B007,M415,C163,E698,2024-06-24 21:00,3,9410,4
B008,M047,C245,E660,2025-04-02 21:00,4,4840,5
B009,M149,C144,E529,2025-01-04 18:30,3,5830,5
B010,M108,C040,E551,2025-11-14 17:00,3,1720,5
B011,M331,C053,E053,2024-12-18 19:00,4,17870,5
B012,M418,C102,E331,2025-04-17 19:30,3,4720,3
B013,M373,C274,E643,2026-04-26 18:00,4,16200,5
B014,M434,C231,E449,2026-03-25 16:30,4,1850,5
B015,M123,C155,E146,2024-08-28 18:30,4,14210,4
B016,M160,C211,E525,2024-11-19 14:30,6,5630,4
B017,M492,C217,E780,2024-08-18 18:00,4,2970,4
B018,M034,C112,E023,2026-05-14 15:00,5,6280,5
B019,M259,C107,E777,2025-06-29 21:30,5,19130,5
B020,M241,C083,E375,2025-04-22 20:30,4,4930,3
B021,M123,C261,E450,2026-04-05 18:00,3,10110,5
B022,M016,C290,E728,2025-04-24 16:00,4,1170,4
B023,M337,C084,E723,2025-07-07 19:00,6,5090,4
B024,M201,C191,E093,2024-10-08 20:00,2,2430,5
B025,M297,C200,E254,2024-06-22 22:30,1,3270,4
B026,M391,C242,E299,2026-05-01 20:30,4,10060,5
B027,M371,C294,E354,2026-03-20 15:00,3,3270,3
B028,M146,C059,E499,2025-01-31 18:30,3,2260,3
B029,M447,C040,E166,2024-07-11 21:30,3,1780,5
B030,M324,C147,E074,2024-12-11 16:00,5,8950,5
B031,M414,C246,E308,2026-01-27 14:00,3,16780,5
B032,M404,C105,E262,2025-06-12 18:30,4,13910,4
B033,M497,C065,E754,2024-06-03 19:30,3,6540,5
B034,M482,C015,E248,2025-09-02 21:00,4,4820,5
B035,M480,C016,E357,2025-03-24 20:30,3,8450,4
B036,M058,C097,E192,2026-05-11 15:30,3,380,2
B037,M201,C213,E765,2025-10-04 15:00,3,5770,1
B038,M372,C124,E321,2025-05-21 18:30,3,9380,5
B039,M391,C066,E138,2025-07-11 19:00,2,6470,4
