Review_ID,Booking_ID,Review_Text,Rating,Created_At,vader_score,bert_score,Sentiment_Score,Sentiment_Label,Musician_ID,Avg_Musician_Rating,Review_Length,Sentiment_Rating_Gap,anomaly_score,is_anomaly
R001,B001,"Fantastic night! They interacted warmly with guests of all ages and backgrounds. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-09-01,0.9468,,0.9468,POSITIVE,M385,4.0,23,0.053200000000000025,0.1848,False
R002,B002,"Perfect in every way. Every single technical element was handled with care and expertise. Arrived early, set up quickly, and delivered a flawless set. 10/10.",5,2025-10-06,0.9404,,0.9404,POSITIVE,M150,4.666666666666667,25,0.059599999999999986,0.1988,False
R003,B003,Very impressed overall. The lighting rig they brought added a whole new dimension to the venue. Communication beforehand was quick and clear. Performance delivered as promised.,4,2025-05-01,0.8951,,0.8951,POSITIVE,M449,4.5,26,0.1451,0.1916,False
R004,B004,Wow. Just wow. The vocalist has an exceptional range and genuine stage presence. If I could give six stars I would. Guests are still talking about it.,5,2025-12-23,0.9112,,0.9112,POSITIVE,M243,4.333333333333333,27,0.08879999999999999,0.1943,False
R005,B005,Good performance and good attitude. Incredibly professional attitude from enquiry through to pack-down. Would appreciate a slightly more varied setlist next time.,4,2026-02-04,0.9088,,0.9088,POSITIVE,M183,4.5,22,0.15880000000000005,0.1726,False
R006,B006,"Fantastic night! The vocalist has an exceptional range and genuine stage presence. The musician was warm, engaging, and incredibly talented. Couldn't be happier.",5,2025-12-08,0.9202,,0.9202,POSITIVE,M379,3.0,23,0.07979999999999998,0.0882,False
R007,B007,High-quality entertainment. Seamlessly transitioned between genres to keep all demographics happy. Everything ran smoothly and the crowd response was fantastic.,4,2024-07-05,0.939,,0.939,POSITIVE,M415,4.666666666666667,20,0.18899999999999995,0.1209,False
R008,B008,Best booking decision we ever made. They stayed thirty minutes over schedule — for free — because the crowd demanded it. Professionalism from start to finish. Five stars without hesitation.,5,2025-04-04,0.9066,,0.9066,POSITIVE,M047,4.5,30,0.09340000000000004,0.1711,False
R009,B009,Wow. Just wow. Seamlessly transitioned between genres to keep all demographics happy. If I could give six stars I would. Guests are still talking about it.,5,2025-01-15,0.9531,,0.9531,POSITIVE,M149,4.0,26,0.04690000000000005,0.1779,False
R010,B010,"Absolutely sensational performance — the crowd was completely blown away from the first song to the last. Perfectly punctual, impeccably presented, and artistically superb. Cannot recommend highly enough!",5,2025-11-22,0.9084,,0.9084,POSITIVE,M108,4.25,28,0.09160000000000001,0.1819,False
R011,B011,Exceptional talent. Played three of our requested songs and arranged them beautifully. They had the whole room on their feet within minutes. Truly memorable.,5,2024-12-21,0.9538,,0.9538,POSITIVE,M331,5.0,24,0.04620000000000002,0.1952,False
R012,B012,"A solid performance, though it felt like they were playing it safe creatively. Communication was slow before the event and the performance itself was middle-of-the-road.",3,2025-04-26,0.926,,0.926,POSITIVE,M418,4.0,25,0.42600000000000005,0.0913,False
